Country Name,Country Code,Series Name,Series Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
Afghanistan,AFG,"Labor force participation rate, male (% of male population ages 15+) (modeled ILO estimate)",SL.TLF.CACT.MA.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,80,80.002,80.025,80,79.96,79.936,79.913,79.91,79.932,79.952,79.943,79.906,79.834,79.737,79.622,79.495,79.35,79.173,78.957,78.714,78.458,78.209,77.975,77.116,76.226,75.308,74.361,73.401,71.37,69.386,66.75,66.843,70.225,70.074,69.954,69.76
Africa Eastern and Southern,AFE,"Labor force participation rate, male (% of male population ages 15+) (modeled ILO estimate)",SL.TLF.CACT.MA.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,78.39716186,78.37924658,78.45168214,78.31891792,78.31060453,78.51354915,78.66580301,78.73408389,78.6182217,78.43973994,78.30176961,78.16255027,78.0450359,77.9469778,77.82166451,77.72342686,77.54093266,77.34239289,77.14158484,76.72907401,76.30641601,76.44403946,75.88436216,76.45392672,75.64835477,75.36432149,74.95731298,74.40213561,74.0961491,73.84075645,72.78827481,72.92690506,73.27277677,74.42286443,74.34857566,74.30010978
Africa Western and Central,AFW,"Labor force participation rate, male (% of male population ages 15+) (modeled ILO estimate)",SL.TLF.CACT.MA.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,83.5611968,83.73764908,83.8949098,84.03393225,84.13113819,84.08755667,83.89375078,83.71881238,83.58091761,83.38426446,83.08774475,82.86924282,82.53366258,82.27395943,82.0366364,81.78971254,81.50374062,81.21964352,80.90362468,80.67689614,80.30771425,80.15781019,79.86269087,79.57106287,79.2548286,79.02052248,79.05878271,78.59063669,78.46949728,78.32164261,77.11509372,77.48617184,78.24561977,77.5911211,77.43087335,77.3424796
Albania,ALB,"Labor force participation rate, male (% of male population ages 15+) (modeled ILO estimate)",SL.TLF.CACT.MA.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,73.901,77.605,78.439,77.319,76.354,74.902,73.918,75.17,74.219,72.916,72.218,71.366,70.902,69.354,67.778,66.178,64.556,62.916,61.259,64.458,63.935,67.629,65.406,61.438,63.307,64.257,65.075,66.75,67.535,68.005,66.795,67.165,68.176,70.068,70.121,70.218
Algeria,DZA,"Labor force participation rate, male (% of male population ages 15+) (modeled ILO estimate)",SL.TLF.CACT.MA.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,76.969,77.369,77.436,77.673,77.792,77.524,77.21,76.499,75.816,75.3,74.782,74.285,73.747,73.198,72.701,72.203,71.769,71.355,70.979,70.652,71.142,70.593,69.989,69.345,68.641,68.389,68.384,68.496,68.549,68.544,61.839,62.395,68.157,67.61,66.979,66.409
American Samoa,ASM,"Labor force participation rate, male (% of male population ages 15+) (modeled ILO estimate)",SL.TLF.CACT.MA.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Andorra,AND,"Labor force participation rate, male (% of male population ages 15+) (modeled ILO estimate)",SL.TLF.CACT.MA.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Angola,AGO,"Labor force participation rate, male (% of male population ages 15+) (modeled ILO estimate)",SL.TLF.CACT.MA.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,79.015,79.15,79.275,79.39,79.491,79.539,79.54,79.513,79.466,79.416,79.355,79.287,79.217,79.146,79.081,79.031,78.995,78.973,78.969,78.979,78.99,79.899,79.569,79.235,78.897,78.556,78.212,77.863,77.511,77.156,75.392,78.13,76.535,77.588,77.522,77.467
Antigua and Barbuda,ATG,"Labor force participation rate, male (% of male population ages 15+) (modeled ILO estimate)",SL.TLF.CACT.MA.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Arab World,ARB,"Labor force participation rate, male (% of male population ages 15+) (modeled ILO estimate)",SL.TLF.CACT.MA.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,74.84658874,74.76821442,74.71466308,75.18160623,75.20167621,74.84281127,74.52600906,74.25669656,73.8615199,74.13964878,73.33518249,72.24821528,71.49725976,71.47943839,71.52305364,71.60582951,71.70831746,71.58530825,71.70996636,71.56572743,72.30431188,72.17971185,71.75341093,71.65899137,71.519256,70.54675893,70.37589103,69.64465232,69.62911366,69.71553736,68.02741112,68.29200366,69.53842991,70.74432029,70.71091816,70.58411461
